"cshtml","PageCssPath","desktop","mobile","score","fe","pri"
"Views/Paneller/Admin/LogEvents.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Logs.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/MailCenter.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Managers.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Notifications.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/PartnerApplications.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Payments.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/PendingHotels.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/PlatformCheckup.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/PlatformOfficials.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/RateLimitStats.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Reports.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Reservations.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/ReviewsModeration.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Security.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Settings.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/SettingsMonitor.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Sitemap.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/SupportArticles.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/SystemHealth.cshtml","panel-admin-system-health","panel-admin-system-health.css","yes","4","fe-admin","P1"
"Views/Paneller/Admin/Team.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/UnifiedReservations.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/Users.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Admin/WhatsAppCloudApi.cshtml","","(controller PageCssPath)","via layout","2","fe-admin","P1"
"Views/Paneller/Common/_DeveloperFeedbackWidget.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Paneller/Common/_PanelToasts.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Paneller/Departman/_DepartmentFooter.cshtml","","(layout/shell)","yes","4","fe-departman","P1"
"Views/Paneller/Departman/_DepartmentMobileNav.cshtml","","(layout/shell)","yes","4","fe-departman","P1"
"Views/Paneller/Departman/_DepartmentPanelLayout.cshtml","","(layout/shell)","yes","4","fe-departman","P1"
"Views/Paneller/Departman/_DepartmentSidebar.cshtml","","(layout/shell)","yes","4","fe-departman","P1"
"Views/Paneller/Departman/Dashboard.cshtml","","(controller PageCssPath)","via layout","2","fe-departman","P1"
"Views/Paneller/Developer/_DeveloperMobileNav.cshtml","","(layout/shell)","yes","4","fe-developer","P1"
"Views/Paneller/Developer/_DeveloperPanelLayout.cshtml","","(layout/shell)","yes","4","fe-developer","P1"
"Views/Paneller/Developer/_DeveloperSidebar.cshtml","","(layout/shell)","yes","4","fe-developer","P1"
"Views/Paneller/Developer/Index.cshtml","","(controller PageCssPath)","via layout","2","fe-developer","P1"
"Views/Paneller/Developer/Security.cshtml","","(controller PageCssPath)","via layout","2","fe-developer","P1"
"Views/Paneller/Firma/_FirmaMobileNav.cshtml","","(layout/shell)","yes","4","fe-firma","P1"
"Views/Paneller/Firma/_FirmaPanelFooter.cshtml","","(layout/shell)","yes","4","fe-firma","P1"
"Views/Paneller/Firma/_FirmaPanelLayout.cshtml","","(layout/shell)","yes","4","fe-firma","P1"
"Views/Paneller/Firma/_FirmaSidebar.cshtml","","(layout/shell)","yes","4","fe-firma","P1"
"Views/Paneller/Firma/CreateReservation.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Dashboard.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Deals.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/DealsCompare.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Employees.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Hotels.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Invoices.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Limits.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Messages.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Reservations.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Security.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Firma/Spending.cshtml","","(controller PageCssPath)","via layout","2","fe-firma","P1"
"Views/Paneller/Partner/_PartnerPanelFooter.cshtml","","(layout/shell)","yes","4","fe-partner","P1"
"Views/Paneller/Partner/_PartnerPanelLayout.cshtml","","(layout/shell)","yes","4","fe-partner","P1"
"Views/Paneller/Partner/_PartnerSidebar.cshtml","","(layout/shell)","yes","4","fe-partner","P1"
"Views/Paneller/Partner/AccountInfo.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Campaigns.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/CancellationNoShow.cshtml","paneller/partner/reservations","paneller/partner/reservations.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/Commissions.cshtml","paneller/partner/finance","paneller/partner/finance.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/CompanyAnalytics.cshtml","paneller/partner/company-pricing","paneller/partner/company-pricing.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/CompanyPricing.cshtml","paneller/partner/company-pricing","paneller/partner/company-pricing.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/CompanyRequests.cshtml","paneller/partner/company-pricing","paneller/partner/company-pricing.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/CompanyReservations.cshtml","paneller/partner/company-reservations","paneller/partner/company-reservations.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/DailyNotes.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Dashboard.cshtml","paneller/partner/dashboard","paneller/partner/dashboard.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/Discounts.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/FacilityAmenities.cshtml","paneller/partner/hotel-info","paneller/partner/hotel-info.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/FacilityDefinitions.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/FacilityLocation.cshtml","paneller/partner/hotel-info","paneller/partner/hotel-info.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/FacilityPolicies.cshtml","paneller/partner/hotel-info","paneller/partner/hotel-info.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/FacilityUsers.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/FavoriteGuests.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Finance.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/GuestInvoices.cshtml","paneller/partner/finance","paneller/partner/finance.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/GuestMessages.cshtml","paneller/partner/reservations","paneller/partner/reservations.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/HotelInfo.cshtml","paneller/partner/hotel-info","paneller/partner/hotel-info.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/Invoices.cshtml","paneller/partner/finance","paneller/partner/finance.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/ListingSubscriptions.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/LocationInsights.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/MarketingEvents.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/MealServices.cshtml","paneller/partner/meal-services","paneller/partner/meal-services.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/NoHotelAssigned.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/NotificationPreferences.cshtml","paneller/partner/notification-preferences","paneller/partner/notification-preferences.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/PaymentSettings.cshtml","paneller/partner/finance","paneller/partner/finance.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/PaymentStatuses.cshtml","paneller/partner/reservations","paneller/partner/reservations.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/Performance.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Photos.cshtml","paneller/partner/photos","paneller/partner/photos.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/PlannedModule.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
